"","logFC","logCPM","PValue","FDR"
"TRIOBP",1.62768456993972,6.71205387890906,3.67921031998423e-17,2.22847150916798e-15
"PPP1R13B",1.85025443514551,5.61247675817677,3.85861807937867e-17,2.32841684998925e-15
"RNF144A",1.87166958854859,6.35842011914266,3.96989064198179e-17,2.38665693167768e-15
"ZDHHC11B",4.01476849039555,3.32868572058499,4.08022128806194e-17,2.44390143224214e-15
"HBA1",4.96562732068671,2.49324713638524,4.74888846167383e-17,2.8339123321841e-15
"TCHH",3.78574077209811,2.81705335958865,5.12447020250259e-17,3.04679897481146e-15
"NPR3",3.88763504298626,4.46943439616689,5.75567323479129e-17,3.39961517932013e-15
"CNGA1",4.59778768891864,1.34248195798724,5.75992183486097e-17,3.39961517932013e-15
"ERG",1.79775328504655,5.9745931217884,6.30986448379201e-17,3.71065921570489e-15
"FFAR2",5.36060233225231,2.93275625839366,6.73008916778786e-17,3.943442102227e-15
"PTGER4P2-CDK2AP2P2",4.07299535380437,2.07173797799988,6.99666619558781e-17,4.08484063953235e-15
"P2RY2",4.27438313044895,3.38635432050188,7.28799291025224e-17,4.23961947282731e-15
"MRO",3.08355703554137,2.37139761251818,7.55316831863331e-17,4.37813039601928e-15
"SPOCK1",3.84624662714757,4.40197382164671,8.01200706166579e-17,4.62750636433068e-15
"ABCA8",3.251504819842,5.36410536485907,9.46053513649231e-17,5.44468947428305e-15
"SULT4A1",5.63270149641889,1.49520707274966,9.87109583830111e-17,5.66082843606402e-15
"CLDN18",5.82667114352391,0.254992307544797,1.04800928048605e-16,5.98883607209203e-15
"YES1",1.76546049301948,6.04928817863347,1.12561798865036e-16,6.40968102551182e-15
"TBX18",-6.81142069909576,2.46117154881227,1.13003226472576e-16,6.41223922285791e-15
"LLGL2",2.59613873169999,5.97903205137076,1.20871545341695e-16,6.83473647295766e-15
"GAREM",2.85654936387203,2.69660313462572,1.24854642839453e-16,7.03536335888375e-15
"PLEKHH1",2.76683246996403,2.78765145671321,1.26669058954595e-16,7.11281951879762e-15
"BCAR1",3.26294901199149,5.96211621729447,1.31750238109966e-16,7.3725427360359e-15
"TNFRSF19",2.55592729216844,3.47532346139559,1.35542573727904e-16,7.55860173216433e-15
"VEGFA",2.84218793820952,6.97282775524815,1.41970905606109e-16,7.88987452048795e-15
"SLC4A10",3.62231848188563,2.20240639439405,1.71159905072242e-16,9.47944515352156e-15
"PSTPIP2",2.899178426813,6.41457388159841,1.71967689683008e-16,9.49167739779387e-15
"LPL",-2.723874874933,4.51511503405913,1.81013705391008e-16,9.95698518225638e-15
"WNT2",4.98599812315194,1.08254092472561,1.83929378458163e-16,1.00830708760183e-14
"TUBB4A",2.71569342629446,3.12319165195216,1.98157201376765e-16,1.08263454752197e-14
"DFNB31",2.4343209587186,4.97128138852184,2.14799198831972e-16,1.16960695067698e-14
"COLEC12",-3.78485133225951,3.95077762448715,2.33706110806471e-16,1.2682869879068e-14
"LRP4",4.71348559739377,4.36094891157441,2.96723975831066e-16,1.60488967797325e-14
"NPTX2",5.77634859769887,3.37828700592556,3.06570397850141e-16,1.64805036965342e-14
"CCL19",-2.96130259534413,7.47379397026869,3.06741999298591e-16,1.64805036965342e-14
"DACH1",3.24975293874024,3.93125914178509,3.16361393406135e-16,1.69410478614703e-14
"SCN11A",3.95114359103209,3.80531998747631,3.38069894164604e-16,1.80437832621451e-14
"TNFSF11",-5.13160741754982,4.0200977632824,3.57588370233717e-16,1.90227602744068e-14
"APLNR",3.58853613673128,7.87430245600002,3.77947905205907e-16,2.00399131901309e-14
"SLC22A3",-4.46904346324644,4.99979792055002,3.85066205335093e-16,2.03506231133305e-14
"TAC1",10.1572323464249,3.68361596686318,4.15769927693693e-16,2.19017305233303e-14
"PTPRN2",2.12857317054778,5.4665549596946,4.21048770456423e-16,2.21077945318872e-14
