"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAPRIN2",613.314258225,0.139599758179405,0.26309347625911,0.530608968965534,0.595689779177686,0.746701605152097
"LOC101928005",11.1350245954897,0.261581102209386,0.493147969541937,0.530431266810967,0.595812952403987,0.746810840988683
"RP11-1072A3.2",36.1131624694489,-0.168112552962833,0.317082065976373,-0.530186254606276,0.59598280024427,0.74693339884293
"PHLDB3",141.006772938066,0.21330970839737,0.402327329402547,0.530189457211701,0.595980579985527,0.74693339884293
"F11",1.30895715959854,0.787940242110445,1.48668166114735,0.529999301600554,0.596112415014932,0.747050673423791
"RNVU1-15",2.06223086141011,-0.80259203499293,1.51522881395702,-0.529683720108888,0.596331237224883,0.747270372021967
"LOC102724364",34.9022708681934,-0.243392605057169,0.459541310552675,-0.529642492346224,0.596359826996689,0.747270372021967
"RP5-1024G6.5",4.39790339699886,-0.415386822090163,0.784606068769651,-0.529420863060026,0.596513528564525,0.747339737814399
"PRR7-AS1",12.7137325349577,-0.293371286770037,0.554151060546888,-0.529406704519362,0.596523348231341,0.747339737814399
"PTGES2",522.443038426428,0.0912123811004599,0.172268112816747,0.52947919152913,0.596473075585959,0.747339737814399
"HHATL",2.46441040934857,0.52134517901371,0.985073065619769,0.529245187194008,0.596635373905964,0.74743491057191
"MICA",2.1709378661636,0.900776374283128,1.70252978308292,0.529081125765691,0.59674917393127,0.747487120935905
"PHKG2",471.863281935062,0.0867364235818348,0.163925395468785,0.529121331894859,0.596721284326152,0.747487120935905
"PODXL2",67.3722274004035,0.158046553023261,0.298835553126888,0.528874664910279,0.596892398050606,0.747528763043553
"CLVS1",1.32992581191866,0.787986021196896,1.4896844262071,0.528961709832193,0.596832012143486,0.747528763043553
"KGFLP2",24.0082976691355,0.267237928198912,0.505441958700031,0.528721297468523,0.596998800821255,0.747528763043553
"SNORD59A",14.8275505872838,0.320624716298108,0.606377221366898,0.528754552447327,0.596975728556296,0.747528763043553
"DHPS",710.088392239554,-0.0732791678836262,0.138596337211817,-0.528723697594067,0.596997135603409,0.747528763043553
"TSSK6",23.0403257801602,0.237356997851806,0.448809018162434,0.528859689191676,0.59690278747633,0.747528763043553
