"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043062","GO:0043062","extracellular structure organization","45/1070","319/18903",1.42356385636211e-08,2.2470040264625e-06,1.69152456218549e-06,"7490/64093/59277/2264/83872/169611/10630/81621/7092/5806/2824/858/857/4060/5650/4324/4321/4327/1805/7042/650/64386/1842/4868/1305/11096/3037/2296/84830/55612/131873/1288/5156/10516/5212/4316/11117/7177/10631/2294/8516/23213/3249/6423/6662",45
"GO:0003012","GO:0003012","muscle system process","57/1070","455/18903",1.44693441097964e-08,2.2470040264625e-06,1.69152456218549e-06,"4846/2257/776/1482/9312/80005/51196/2697/3673/1908/147/3768/6525/6869/2627/6909/857/80852/60675/6915/151/5152/7139/481/6535/3762/134/6752/1134/3162/10052/9172/6262/6332/3752/85366/56203/1131/10316/8470/2149/152/9464/6324/148/9127/2146/23493/477/6442/6330/5733/3759/23213/5348/6338/8913",57
"GO:0001822","GO:0001822","kidney development","44/1070","309/18903",1.5491613946391e-08,2.28455954374782e-06,1.7197960201738e-06,"6943/7490/2045/51196/7010/3579/2028/285/2246/5754/185/55366/7422/4038/9370/8854/284/9353/64321/341640/6495/6422/6664/64220/5154/7042/650/79191/4868/8692/80144/3037/2296/168002/116039/5156/7475/3070/1063/8516/23213/4091/9245/6662",44
"GO:0006939","GO:0006939","smooth muscle contraction","24/1070","113/18903",1.55765423437351e-08,2.28455954374782e-06,1.7197960201738e-06,"9312/80005/51196/3673/1908/6525/6869/6909/857/80852/60675/6915/151/134/6752/1131/10316/2149/152/148/477/5733/23213/6338",24
"GO:0060537","GO:0060537","muscle tissue development","54/1070","422/18903",1.68177383287786e-08,2.33741410627047e-06,1.75958446277458e-06,"6943/7490/65009/1482/2697/9096/7422/7472/8854/2627/6909/858/857/10512/2817/115701/7139/2242/7049/6474/6495/6664/64220/7042/650/1134/79191/57158/10052/6262/4868/85366/56203/4223/8538/8470/2296/148/3131/4488/23493/5156/10804/6899/55553/1063/8516/983/3481/5457/6662/8913/4487/27063",54
"GO:0097530","GO:0097530","granulocyte migration","29/1070","158/18903",1.71976855444728e-08,2.33741410627047e-06,1.75958446277458e-06,"6372/5473/3577/3579/2919/1908/6366/3672/6363/1441/146433/54210/5196/9353/27202/3680/6279/7042/6280/6357/6283/4192/2920/6376/4283/6361/7130/3929/6364",29
"GO:0045229","GO:0045229","external encapsulating structure organization","45/1070","321/18903",1.72649905576796e-08,2.33741410627047e-06,1.75958446277458e-06,"7490/64093/59277/2264/83872/169611/10630/81621/7092/5806/2824/858/857/4060/5650/4324/4321/4327/1805/7042/650/64386/1842/4868/1305/11096/3037/2296/84830/55612/131873/1288/5156/10516/5212/4316/11117/7177/10631/2294/8516/23213/3249/6423/6662",45
"GO:0007160","GO:0007160","cell-matrix adhesion","37/1070","238/18903",2.11498066416489e-08,2.79177447669766e-06,2.10162289154912e-06,"22998/3691/11170/7010/3673/948/8174/6366/3674/3672/7422/2824/79834/1946/2523/395/4321/146183/6422/3680/1842/340706/1305/10894/3696/55612/347/55966/4059/22801/4680/3693/3681/6376/10516/11117/8516",37
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","53/1070","414/18903",2.24893089760466e-08,2.89618418032991e-06,2.18022158391661e-06,"159296/3373/1482/7010/55679/79812/6934/2246/6869/185/7432/7422/7472/187/8854/858/857/153090/5241/7049/2523/27202/6495/4321/6422/6664/9420/7042/650/130367/1001/1893/2069/3162/2252/3037/116844/4192/116039/7476/80139/51162/383/6899/1232/23213/5764/1749/3249/6423/3481/151306/6662",53
"GO:0000819","GO:0000819","sister chromatid segregation","37/1070","239/18903",2.36904954016608e-08,2.97823370763736e-06,2.24198773525492e-06,"92421/57520/116028/4085/79075/51203/55143/891/157570/9212/23397/83540/11004/29127/9319/113130/1063/7153/9232/3832/64151/701/81930/7272/9787/11130/991/699/990/9700/332/10615/5347/11065/1062/9928/4751",37
