"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019198","GO:0019198","transmembrane receptor protein phosphatase activity","6/1074","17/18432",0.000273748871547384,0.00699232831895319,0.00587016377182812,"5794/5787/5799/5801/5803/5789",6
"GO:0005126","GO:0005126","cytokine receptor binding","31/1074","273/18432",0.000295622497016663,0.00734129200924714,0.00616312398751114,"6372/5473/2919/6366/4908/7422/6363/8600/146433/10763/5196/153090/1946/25805/7049/1524/7042/1893/6357/116844/2920/59067/4803/6376/65997/4283/6361/3458/3557/4091/6364",31
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","21/1074","158/18432",0.000343781051822604,0.00830649352241642,0.00697342503412565,"6553/9312/3768/10242/57030/481/3772/3745/57582/3762/6616/3752/7881/477/30818/3777/495/9033/3759/30820/3773",21
"GO:0001540","GO:0001540","amyloid-beta binding","14/1074","85/18432",0.000374614490431918,0.00881329880121406,0.00739889561434785,"590/3643/3673/948/1191/7042/10268/2358/320/64084/23542/2893/2892/10288",14
"GO:0003777","GO:0003777","microtubule motor activity","12/1074","67/18432",0.00044015850547447,0.0100897872793379,0.00847052670454244,"57576/124602/64446/547/11004/3832/81930/10112/56992/347240/1062/9928",12
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","43/1074","436/18432",0.000525117569642427,0.0117363776815082,0.00985286387250132,"6553/776/9312/3768/10242/57282/11280/6556/57030/2823/481/6535/3772/3745/57582/3762/83959/6616/6262/6332/3752/6263/6324/55283/7781/80036/10568/7881/477/30818/3777/6505/6330/495/6335/9033/3759/6523/30820/10686/3773/6338/8913",43
"GO:0015276","GO:0015276","ligand-gated ion channel activity","19/1074","146/18432",0.000837767406068083,0.0178324776434492,0.0149706305896377,"1137/2561/3768/1259/3772/3762/1134/6262/6263/55283/9127/3359/3759/2893/2894/3773/6338/2892/2568",19
"GO:0022834","GO:0022834","ligand-gated channel activity","19/1074","146/18432",0.000837767406068083,0.0178324776434492,0.0149706305896377,"1137/2561/3768/1259/3772/3762/1134/6262/6263/55283/9127/3359/3759/2893/2894/3773/6338/2892/2568",19
"GO:0099094","GO:0099094","ligand-gated cation channel activity","16/1074","116/18432",0.00112368281070703,0.0233621495993508,0.0196128725589746,"1137/3768/1259/3772/3762/1134/6262/6263/55283/9127/3359/3759/2893/3773/6338/2892",16
"GO:0005272","GO:0005272","sodium channel activity","9/1074","46/18432",0.00116842555674519,0.0234556556365664,0.0196913722699539,"11280/83959/6332/6324/6330/6335/9033/6338/8913",9
"GO:0008017","GO:0008017","microtubule binding","29/1074","271/18432",0.00118065380720972,0.0234556556365664,0.0196913722699539,"57576/124602/11076/89795/2242/10634/26153/6279/6280/440738/547/51203/10804/11004/29127/1063/22974/3832/81930/9787/10112/56992/332/10615/5347/347240/1062/9928/51512",29
"GO:0005125","GO:0005125","cytokine activity","26/1074","237/18432",0.00145131921091729,0.0281505027377439,0.0236327663393517,"6372/5473/2919/64388/6366/146225/7422/7472/6363/8600/9370/146433/5196/7042/650/6357/2920/7476/59067/6376/7475/4283/6361/3458/3557/6364",26
"GO:0030246","GO:0030246","carbohydrate binding","29/1074","275/18432",0.00147994813050779,0.0281505027377439,0.0236327663393517,"79748/140578/6403/5806/81035/4885/49/114132/51348/10332/2591/3101/339390/7123/648791/8972/2219/6518/6401/57452/1116/400709/387837/5836/5764/1178/85329/30835/283208",29
"GO:0019955","GO:0019955","cytokine binding","18/1074","144/18432",0.00180046703721331,0.0317582377640103,0.0266615136297414,"3577/3579/10630/64388/948/1441/3559/658/7049/1524/1271/8425/8692/2615/8764/1232/3557/7850",18
"GO:0005114","GO:0005114","type II transforming growth factor beta receptor binding","4/1074","10/18432",0.00181282509367813,0.0317582377640103,0.0266615136297414,"25805/7049/7042/116844",4
"GO:0050786","GO:0050786","RAGE receptor binding","4/1074","10/18432",0.00181282509367813,0.0317582377640103,0.0266615136297414,"6279/6280/6283/2357",4
