"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045177","GO:0045177","apical part of cell","49/1109","435/19869",2.36365266814611e-06,0.000104639448888343,7.83985963807399e-05,"5794/53405/3485/7010/2697/10630/948/6997/1000/79981/2028/57282/1464/481/27202/6535/3745/146183/22941/83959/57619/1271/5745/222962/5031/9351/8692/8470/8972/6518/6712/55966/23428/4680/10568/6505/10804/495/10913/8516/6523/3249/5348/91703/259266/6338/6583/5172/762",49
"GO:0031225","GO:0031225","anchored component of membrane","26/1109","169/19869",2.46210467972572e-06,0.000104639448888343,7.83985963807399e-05,"594855/84966/6997/2215/8794/5067/4978/2817/10082/1946/66004/146760/146183/1271/64386/115827/284348/8692/65078/130576/4680/11126/64180/419/1088/762",26
"GO:0044853","GO:0044853","plasma membrane raft","20/1109","113/19869",4.03763792586809e-06,0.000158399641707133,0.000118677130938471,"4846/3643/147/948/1000/4038/858/857/1946/481/23209/3162/3037/2149/84830/148/6401/477/81930/5348",20
"GO:0045121","GO:0045121","membrane raft","39/1109","326/19869",6.10174810611508e-06,0.000222277966722764,0.000166536433272164,"4846/3643/7010/2697/10630/147/948/6997/1000/3672/4038/2824/284/858/857/2817/79870/1946/481/51090/146760/23209/3162/8692/3037/2149/65078/84830/148/90249/6401/1947/477/6442/6505/23213/81930/5348/1398",39
"GO:0098857","GO:0098857","membrane microdomain","39/1109","327/19869",6.56427009902267e-06,0.000223185183366771,0.000167216143575104,"4846/3643/7010/2697/10630/147/948/6997/1000/3672/4038/2824/284/858/857/2817/79870/1946/481/51090/146760/23209/3162/8692/3037/2149/65078/84830/148/90249/6401/1947/477/6442/6505/23213/81930/5348/1398",39
"GO:0031091","GO:0031091","platelet alpha granule","17/1109","91/19869",9.99031903840316e-06,0.000318441419349101,0.000238584592825023,"5473/6403/948/22915/3674/7422/5099/5196/2157/1191/5104/5154/7042/6622/94121/3481/2162",17
"GO:0000775","GO:0000775","chromosome, centromeric region","31/1109","250/19869",2.65496507561436e-05,0.000796489522684308,0.000596750664054497,"92421/4085/2146/79682/79075/55143/3070/891/157570/9212/83540/11004/113130/1063/7153/64151/701/81930/79019/7272/11130/699/1058/332/10615/5347/55355/221150/1062/54821/4751",31
"GO:0099055","GO:0099055","integral component of postsynaptic membrane","19/1109","118/19869",2.82028844845834e-05,0.000799081727063196,0.000598692810988525,"2045/27253/2561/57406/57497/1000/53826/145581/23767/134/1134/3752/2913/4897/148/9127/64084/57622/2894",19
"GO:0072686","GO:0072686","mitotic spindle","25/1109","183/19869",3.13280745092455e-05,0.000840911473669222,0.000630032744978179,"3579/11076/10382/81027/57520/4085/347733/51203/9212/29127/22974/10381/983/3832/81930/29899/6790/150468/259266/990/9700/10615/5347/221150/1062",25
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","24/1109","174/19869",3.82318158506098e-05,0.000974911304190549,0.000730428902830071,"92421/4085/79682/891/9212/83540/11004/1063/64151/701/81930/79019/7272/11130/699/1058/332/10615/5347/55355/221150/1062/54821/4751",24
"GO:0000776","GO:0000776","kinetochore","23/1109","164/19869",4.2234968881732e-05,0.00102570638712778,0.00076848589995332,"92421/4085/79682/891/9212/83540/11004/1063/701/81930/79019/7272/11130/699/1058/332/10615/5347/55355/221150/1062/54821/4751",23
"GO:0034703","GO:0034703","cation channel complex","28/1109","222/19869",4.72077807818138e-05,0.00104490185997574,0.000782867647412165,"1804/776/9312/57406/10242/1259/11280/3745/3762/285175/6262/6332/3752/6263/6324/7881/3359/30818/6330/6335/9033/3759/30820/2893/3773/6338/2892/8913",28
"GO:0098936","GO:0098936","intrinsic component of postsynaptic membrane","19/1109","123/19869",5.088048348001e-05,0.00104490185997574,0.000782867647412165,"2045/27253/2561/57406/57497/1000/53826/145581/23767/134/1134/3752/2913/4897/148/9127/64084/57622/2894",19
